,text_id,component_id,component_tokens,labels,split
0,172,1,"The Romantic movement that emerged in the early 12th century can be seen as a reaction to the preceding century's numerous wars, particularly the War of a Hundred Years",major claim,TRAIN
1,172,2,"These themes were a stark contrast to the prevailing rationalism and emphasis on reason that dominated the Enlightenment era, which was marked by the wars and political upheavals of the previous century",premise,TRAIN
2,172,3,"The War of a Hundred Years, which lasted from 1337 to 1453, had a profound impact on European society",premise,TRAIN
3,172,4,The Romantic movement's emphasis on medieval culture and folklore can be linked to the aftermath of the War of a Hundred Years,premise,TRAIN
4,172,5,"The war saw the rise of chivalric culture and heroic knights in both England and France, which the Romantics drew upon in their works",premise,TRAIN
5,172,6,"This fascination with the medieval past can be seen in the works of poets such as William Wordsworth, who celebrated the natural beauty of the English countryside and its ancient history",premise,TRAIN
6,172,7,The Romantic movement's emphasis on the individual's emotional experience can be seen as a reaction to the war's brutality and violence,premise,TRAIN
7,172,8,"The war had a significant impact on European society, leading to increased skepticism towards rationalism and the Enlightenment ideals that had dominated the previous century",premise,TRAIN
8,172,9,"The Romantics, with their emphasis on the individual's emotions and personal experience, offered an alternative to the prevailing rationalist paradigm",premise,TRAIN
9,172,10,"the Romantic movement that emerged in the early 12th century was a response to the preceding century's wars, most notably the War of a Hundred Years",major claim,TRAIN
10,172,11,"The movement's focus on medieval culture, nature, and the individual's emotional experience can be seen as a reaction to the war's impact on European society",premise,TRAIN
11,172,12,"By drawing upon the past and celebrating the individual's emotions, the Romantics offered an alternative to the prevailing rationalist paradigm that had dominated the previous century",premise,TRAIN
12,171,1,The Romantic movement that emerged in the early 12th century was a complex phenomenon that cannot be reduced to a simple reaction to the preceding century's wars,major claim,VAL
13,171,2,"the Romantic movement can be seen as a multifaceted cultural and intellectual shift that encompassed various artistic, literary, and philosophical movements",premise,VAL
14,171,3,"The Romantics were interested in exploring the human experience, nature, and the mysteries of existence in ways that departed from the prevailing rationalist paradigm of the Enlightenment era",premise,VAL
15,171,4,They sought to explore the emotional and spiritual dimensions of life that had been suppressed by the emphasis on reason and rationality,premise,VAL
16,171,5,the Romantics did draw upon medieval culture and folklore,premise,VAL
17,171,6,it is important to note that their engagement with the past was not solely a response to the aftermath of the War of a Hundred Years,premise,VAL
18,171,7,the Romantics were interested in the past as a source of inspiration and cultural heritage,premise,VAL
19,171,8,They sought to revive the artistic and literary traditions of the past and to use them as a means of expressing their own creative vision,premise,VAL
20,171,9,it is important to avoid oversimplifying the complex cultural and intellectual shifts that occurred during the Romantic period,major claim,VAL
21,171,10,the War of a Hundred Years undoubtedly had an impact on European society and culture,premise,VAL
22,171,11,it cannot be reduced to a singular cause of the Romantic movement,premise,VAL
23,171,12,"the movement was the result of multiple factors and influences, including changing cultural attitudes, artistic trends, and philosophical ideas",premise,VAL
24,170,1,The theory of evolution states that all living organisms on earth are related and have evolved from common ancestors,major claim,TRAIN
25,170,2,The first piece of evidence that supports the idea that monkeys evolved from human beings is the fossil record,premise,TRAIN
26,170,3,"These fossils show a gradual change in physical characteristics that eventually led to the development of modern-day primates, including monkeys",premise,TRAIN
27,170,4,genetic evidence also supports the theory of evolution,premise,TRAIN
28,170,5,DNA sequencing has shown that humans and monkeys share a large percentage of their genetic code,premise,TRAIN
29,170,6,humans and monkeys share a common ancestor and have evolved from it over time,premise,TRAIN
30,170,7,humans and monkeys share many physical and behavioral traits,premise,TRAIN
31,170,8,"monkeys and humans have opposable thumbs, which allow them to grip objects and use tools",premise,TRAIN
32,170,9,"They also share social behaviors, such as the ability to form strong bonds with family members and the ability to communicate with each other",premise,TRAIN
33,170,10,"monkeys exhibit behaviors and characteristics that are similar to those of early humans, such as the use of tools and the ability to solve complex problems",premise,TRAIN
34,170,11,the statement that monkeys evolved from human beings is accurate based on the overwhelming evidence supporting the theory of evolution,premise,TRAIN
35,170,12,"The fossil record, genetic evidence, shared physical and behavioral traits, and observations of scientists studying monkeys in the wild all point to the fact that humans and monkeys share a common ancestor and have evolved from it over time",major claim,TRAIN
36,169,1,The theory of evolution has been widely accepted by the scientific community as the best explanation for the diversity of life on earth,major claim,VAL
37,169,2,there may be different interpretations of some of the data,premise,VAL
38,169,3,the evidence supporting the theory of evolution is overwhelming,premise,VAL
